                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5647,                 3.5438,                 1.4964,                0.00523,                0.63479,                0.26225,                0.13441,                 1.3038,                 3.6783,                 1.3163,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.0948,                 3.0664,                 1.1274,                0.00667,                 0.7636,                0.48599,                0.32632,                 1.0494,                 3.1543,                 1.1561,             0.00031412,             0.00031412,             0.00031412
                      3,                 1.0937,                  1.659,                 1.2073,                0.40263,                0.58353,                 0.5666,                0.39157,                 0.9834,                 3.0067,                 1.1041,             0.00047545,             0.00047545,             0.00047545
                      4,                 1.0009,                 1.5714,                 1.1293,                0.82463,                0.43157,                0.55297,                 0.3802,                 1.0435,                 2.7113,                 1.1301,             0.00063404,             0.00063404,             0.00063404
                      5,                0.98174,                 1.3468,                 1.1066,                0.70683,                0.42472,                0.48494,                0.32337,                 1.0489,                 2.7086,                 1.2242,             0.00078987,             0.00078987,             0.00078987
                      6,                 1.0158,                 1.3113,                 1.1109,                0.61699,                0.37578,                0.46073,                0.32964,                 1.0113,                 2.6391,                 1.1741,             0.00094296,             0.00094296,             0.00094296
                      7,                0.98733,                 1.2698,                 1.0828,                0.58623,                0.59992,                0.60438,                0.44678,                 1.0764,                 2.0314,                 1.1573,              0.0010933,              0.0010933,              0.0010933
                      8,                0.97361,                 1.2339,                 1.1206,                0.70904,                0.60044,                0.64381,                 0.4747,                0.97775,                 2.0103,                 1.1623,              0.0012409,              0.0012409,              0.0012409
                      9,                0.94944,                 1.1511,                  1.103,                0.68383,                0.60247,                 0.6402,                 0.4648,                0.98037,                 2.0098,                 1.1791,              0.0013857,              0.0013857,              0.0013857
                     10,                0.94353,                 1.0069,                 1.0794,                0.74768,                0.63182,                0.71647,                0.49596,                0.97634,                 1.6956,                 1.1664,              0.0015278,              0.0015278,              0.0015278
                     11,                0.87534,                 1.0911,                 1.0821,                0.63147,                0.80598,                0.70394,                 0.5131,                0.95614,                 1.5706,                 1.1377,              0.0015295,              0.0015295,              0.0015295
                     12,                 1.0172,                 1.1142,                 1.1394,                 0.8524,                0.82129,                0.92725,                0.70286,                0.92089,                 1.2774,                 1.1202,              0.0015295,              0.0015295,              0.0015295
                     13,                0.85367,                 1.0368,                  1.082,                0.71339,                0.90378,                0.84832,                0.61157,                 0.9594,                 1.4678,                 1.1689,              0.0015157,              0.0015157,              0.0015157
                     14,                0.88675,                0.98826,                 1.1034,                0.54714,                0.65834,                0.66269,                0.43654,                 1.1569,                 2.0347,                 1.1912,               0.001502,               0.001502,               0.001502
                     15,                0.93102,                 1.0031,                 1.1374,                0.78254,                0.77785,                0.82775,                0.59568,                 1.0119,                 1.3641,                 1.1747,              0.0014882,              0.0014882,              0.0014882
                     16,                0.87112,                 2.0747,                 0.9684,                0.90334,                0.87145,                0.89682,                0.62791,                0.99953,                  1.275,                 1.1803,              0.0014745,              0.0014745,              0.0014745
                     17,                0.95864,                0.98172,                 1.0885,                0.82853,                0.91514,                0.88225,                0.65039,                0.94244,                 1.2684,                 1.1179,              0.0014607,              0.0014607,              0.0014607
                     18,                0.91378,                0.96231,                 1.1166,                0.92274,                 0.9516,                0.94453,                0.70163,                 0.9299,                  1.039,                 1.0893,               0.001447,               0.001447,               0.001447
                     19,                0.86833,                0.96304,                  1.025,                0.93999,                0.94314,                0.95453,                0.74344,                0.85495,                 1.0368,                 1.0537,              0.0014332,              0.0014332,              0.0014332
                     20,                 1.1243,                 1.1192,                 1.2277,                0.86002,                0.93251,                0.90962,                0.67914,                0.89319,                0.99513,                 1.0793,              0.0014195,              0.0014195,              0.0014195
                     21,                0.81248,                0.82326,                 1.0148,                 0.8956,                0.96652,                0.91688,                0.68783,                0.87851,                 0.9465,                 1.0961,              0.0014057,              0.0014057,              0.0014057
                     22,                0.78678,                 1.2264,                0.93122,                0.90172,                0.91564,                0.92525,                0.70192,                0.86072,                 1.0432,                 1.1015,              0.0013919,              0.0013919,              0.0013919
                     23,                0.83528,                0.92899,                 1.1121,                 0.9227,                 0.9595,                0.94595,                0.71748,                0.92315,                 1.0249,                 1.0824,              0.0013782,              0.0013782,              0.0013782
                     24,                0.85518,                0.84547,                  1.038,                0.91124,                0.93502,                0.93964,                0.70727,                0.91502,                0.99271,                 1.0639,              0.0013644,              0.0013644,              0.0013644
                     25,                0.90964,                0.80824,                 1.1117,                0.96665,                 0.9663,                0.95867,                0.76182,                0.83612,                0.80848,                 1.0176,              0.0013507,              0.0013507,              0.0013507
                     26,                0.80547,                0.75683,                 1.0069,                0.95594,                0.96564,                0.95657,                 0.7626,                0.82083,                0.84068,                 1.0238,              0.0013369,              0.0013369,              0.0013369
                     27,                0.82862,                0.74292,                 1.0528,                0.94272,                0.93734,                0.95483,                0.74145,                 0.8803,                0.80743,                 1.0424,              0.0013232,              0.0013232,              0.0013232
                     28,                0.85431,                0.79214,                 1.0397,                0.92758,                0.95675,                0.94351,                0.74172,                0.81552,                0.77007,                 1.0417,              0.0013094,              0.0013094,              0.0013094
                     29,                 0.8172,                 0.8028,                 1.0921,                 0.9584,                0.93297,                0.95361,                0.74117,                  0.821,                0.75094,                  1.024,              0.0012957,              0.0012957,              0.0012957
                     30,                0.86629,                0.98639,                0.98555,                0.96173,                 0.9662,                0.95414,                 0.7639,                0.77985,                0.70933,                 1.0112,              0.0012819,              0.0012819,              0.0012819
                     31,                0.80752,                 0.6883,                 1.0033,                0.97172,                 0.9516,                0.95363,                0.76907,                0.78614,                0.70206,                 1.0118,              0.0012682,              0.0012682,              0.0012682
                     32,                0.79808,                0.69811,                 1.0004,                0.93971,                0.92727,                0.94361,                 0.7599,                0.79415,                 0.6897,                 1.0145,              0.0012544,              0.0012544,              0.0012544
                     33,                0.69998,                0.92518,                0.91099,                0.95213,                0.96961,                0.95566,                0.75459,                0.79659,                0.70412,                 1.0102,              0.0012407,              0.0012407,              0.0012407
                     34,                0.78216,                0.79599,                 1.0882,                0.95114,                0.96773,                0.95294,                0.76321,                0.79217,                0.70722,                 1.0026,              0.0012269,              0.0012269,              0.0012269
                     35,                0.76369,                0.64555,                  1.023,                 0.9641,                0.97593,                0.95428,                0.76549,                0.80207,                0.66985,                 1.0043,              0.0012132,              0.0012132,              0.0012132
                     36,                0.77717,                 0.6333,                0.99226,                0.96812,                0.97593,                0.95637,                0.77418,                 0.7843,                 0.6609,                 1.0118,              0.0011994,              0.0011994,              0.0011994
                     37,                0.78209,                0.64148,                 1.0147,                0.95474,                0.97593,                0.95134,                0.74542,                 0.8056,                0.63428,                 1.0345,              0.0011857,              0.0011857,              0.0011857
                     38,                0.78332,                0.68997,                 1.0221,                0.95624,                0.97593,                0.95095,                0.73494,                0.84247,                0.62888,                 1.0232,              0.0011719,              0.0011719,              0.0011719
                     39,                0.77175,                0.62179,                 1.0023,                 0.9348,                0.97294,                 0.9476,                0.76403,                0.78803,                0.62799,                 1.0118,              0.0011581,              0.0011581,              0.0011581
                     40,                0.75126,                0.63913,                0.99727,                0.93458,                0.90216,                0.92558,                 0.7012,                0.91951,                 0.7449,                 1.0331,              0.0011444,              0.0011444,              0.0011444
                     41,                0.77408,                0.62137,                 1.0197,                0.91632,                0.97593,                0.94409,                0.73477,                0.84785,                0.67308,                 1.0108,              0.0011306,              0.0011306,              0.0011306
                     42,                0.72806,                0.63209,                0.99075,                0.97264,                0.97593,                0.95404,                0.73548,                0.88843,                0.62971,                 1.0303,              0.0011169,              0.0011169,              0.0011169
                     43,                0.75013,                0.62479,                0.98593,                0.96308,                0.97593,                0.95419,                0.76417,                0.76044,                0.60612,                0.99917,              0.0011031,              0.0011031,              0.0011031
                     44,                0.72486,                0.60696,                0.97247,                0.96525,                0.97166,                0.95493,                0.77691,                0.75111,                0.59602,                 1.0058,              0.0010894,              0.0010894,              0.0010894
                     45,                0.66998,                 0.5483,                0.97096,                0.97268,                0.97593,                0.95458,                 0.7414,                0.87533,                 0.6135,                 1.0204,              0.0010756,              0.0010756,              0.0010756
                     46,                0.80878,                0.62461,                 1.0461,                0.95264,                0.97593,                0.95021,                0.76739,                0.76536,                0.60908,                 1.0007,              0.0010619,              0.0010619,              0.0010619
                     47,                0.75041,                0.58186,                0.98841,                0.94535,                0.96773,                 0.9509,                0.75757,                0.82187,                0.64165,                 1.0231,              0.0010481,              0.0010481,              0.0010481
                     48,                0.76878,                0.61358,                0.98536,                0.91795,                0.96743,                0.94312,                0.75676,                0.79383,                0.62626,                 1.0087,              0.0010344,              0.0010344,              0.0010344
